Partlist exported from C:/Users/gaine/OneDrive/Documents/eagle/BuffAttMult/BAM_Rev 6.sch at 2/28/2018 5:56 PM

Qty Value           Device            Package              Parts                                                                                                                                                                                                             Description                              
12  .1uF            C-USC0805         C0805                C3, C4, C6, C7, C15, C16, C17, C18, C20, C21, C22, C23                                                                                                                                                            CAPACITOR, American symbol               
44  100k            R-US_R0805        R0805                R1, R2, R3, R4, R5, R6, R7, R8, R9, R10, R11, R12, R13, R14, R15, R16, R17, R18, R19, R20, R22, R23, R24, R25, R27, R28, R30, R31, R32, R33, R35, R36, R38, R39, R40, R41, R43, R44, R46, R47, R48, R49, R51, R54 RESISTOR, American symbol                
8   10k B           POT_USVERTICAL_PS ALPS_POT_VERTICAL_PS VR1, VR2, VR3, VR4, VR5, VR6, VR7, VR8                                                                                                                                                                                                                     
2   1N5819HW        DIODE-SOD123      SOD123               D1, D2                                                                                                                                                                                                            DIODE                                    
10  1k              R-US_R0805        R0805                R21, R26, R29, R34, R37, R42, R45, R50, R52, R53                                                                                                                                                                  RESISTOR, American symbol                
2   1uF             C-USC0805         C0805                C1, C2                                                                                                                                                                                                            CAPACITOR, American symbol               
8   22p             C-USC0805         C0805                C5, C8, C9, C10, C11, C12, C13, C14                                                                                                                                                                               CAPACITOR, American symbol               
1   EURO_POWER_LOCK EURO_POWER_LOCK   EURO_PWR_HEADER_LOCK U$1                                                                                                                                                                                                                                                        
18  THONKICONNNEW   THONKICONNNEW     WQP-PJ301M-12_JACK   IN_1, IN_2, OUT_1A, OUT_1B, OUT_1C, OUT_1D, OUT_2A, OUT_2B, OUT_2C, OUT_2D, UNITY_IN_1, UNITY_IN_2, UNITY_IN_3, UNITY_IN_4, UNITY_IN_5, UNITY_IN_6, UNITY_OUT_1, UNITY_OUT_2                                      3.5mm socket for Eurorack modular synths 
1   TL072           TL072_SMD         SO08                 U1                                                                                                                                                                                                                Generic Dual Op Amp                      
5   TL074           TL074_SMD         SO14                 U2, U4, U5, U6, U7                                                                                                                                                                                                Generic Quad Op Amp                      
